Date,Time,NOx(GT),PT08.S1(CO)
2004-03-13,17:00:00,148.0,1326.0
2004-03-13,18:00:00,227.0,1472.75
2004-03-13,19:00:00,277.0,1609.0
2004-03-13,20:00:00,279.0,1610.75
2004-03-13,21:00:00,283.0,1620.5
2004-03-13,22:00:00,214.0,1444.25
2004-03-13,23:00:00,172.0,1418.0
2004-03-14,00:00:00,190.0,1533.5
2004-03-14,01:00:00,174.0,1483.5
2004-03-14,02:00:00,128.0,1366.75
2004-03-14,03:00:00,-200.0,1344.0
2004-03-14,04:00:00,70.0,1129.5
2004-03-14,05:00:00,53.0,1062.0
2004-03-14,06:00:00,44.0,1075.75
2004-03-14,07:00:00,74.0,1028.25
2004-03-14,08:00:00,101.0,1154.5
2004-03-14,09:00:00,118.0,1235.25
2004-03-14,10:00:00,144.0,1331.5
2004-03-14,11:00:00,176.0,1444.75
2004-03-14,12:00:00,161.0,1415.5
2004-03-14,13:00:00,113.0,1281.25
2004-03-14,14:00:00,103.0,1207.25
2004-03-14,15:00:00,112.0,1257.75
2004-03-14,16:00:00,170.0,1457.75
2004-03-14,17:00:00,180.0,1437.75
2004-03-14,18:00:00,160.0,1477.75
2004-03-14,19:00:00,261.0,1807.5
2004-03-14,20:00:00,325.0,1898.0
2004-03-14,21:00:00,217.0,1559.5
2004-03-14,22:00:00,146.0,1324.25
2004-03-14,23:00:00,152.0,1348.75
2004-03-15,00:00:00,104.0,1238.75
2004-03-15,01:00:00,106.0,1239.0
2004-03-15,02:00:00,108.0,1223.75
2004-03-15,03:00:00,-200.0,1078.25
2004-03-15,04:00:00,66.0,1077.5
2004-03-15,05:00:00,88.0,1074.5
2004-03-15,06:00:00,138.0,1156.75
2004-03-15,07:00:00,228.0,1314.0
2004-03-15,08:00:00,360.0,1796.75
2004-03-15,09:00:00,478.0,1961.25
2004-03-15,10:00:00,394.0,1770.5
2004-03-15,11:00:00,319.0,1563.5
2004-03-15,12:00:00,201.0,1430.0
2004-03-15,13:00:00,171.0,1417.25
2004-03-15,14:00:00,159.0,1400.25
2004-03-15,15:00:00,153.0,1317.25
2004-03-15,16:00:00,143.0,1317.75
2004-03-15,17:00:00,156.0,1445.25
2004-03-15,18:00:00,314.0,1917.0
2004-03-15,19:00:00,404.0,2039.75
2004-03-15,20:00:00,320.0,1894.75
2004-03-15,21:00:00,256.0,1594.5
2004-03-15,22:00:00,193.0,1438.5
2004-03-15,23:00:00,89.0,1141.5
2004-03-16,00:00:00,127.0,1303.6666666667
2004-03-16,01:00:00,79.0,1074.25
2004-03-16,02:00:00,43.0,968.0
2004-03-16,03:00:00,-200.0,929.25
2004-03-16,04:00:00,59.0,941.0
2004-03-16,05:00:00,38.0,937.0
2004-03-16,06:00:00,82.0,1017.0
2004-03-16,07:00:00,99.0,1171.25
2004-03-16,08:00:00,263.0,1541.0
2004-03-16,09:00:00,229.0,1539.25
2004-03-16,10:00:00,396.0,1734.75
2004-03-16,11:00:00,314.0,1571.0
2004-03-16,12:00:00,217.0,1451.75
2004-03-16,13:00:00,252.0,1579.0
2004-03-16,14:00:00,263.0,1466.25
2004-03-16,15:00:00,180.0,1279.75
2004-03-16,16:00:00,184.0,1407.0
2004-03-16,17:00:00,190.0,1388.75
2004-03-16,18:00:00,184.0,1447.25
2004-03-16,19:00:00,181.0,1551.0
2004-03-16,20:00:00,166.0,1473.5
2004-03-16,21:00:00,317.0,1799.5
2004-03-16,22:00:00,184.0,1379.25
2004-03-16,23:00:00,130.0,1200.5
2004-03-17,00:00:00,132.0,1204.75
2004-03-17,01:00:00,95.0,1071.5
2004-03-17,02:00:00,70.0,997.75
2004-03-17,03:00:00,-200.0,933.25
2004-03-17,04:00:00,54.0,882.75
2004-03-17,05:00:00,28.0,868.75
2004-03-17,06:00:00,46.0,890.75
2004-03-17,07:00:00,160.0,1172.75
2004-03-17,08:00:00,320.0,1587.25
2004-03-17,09:00:00,377.0,1851.5
2004-03-17,10:00:00,280.0,1521.5
2004-03-17,11:00:00,221.0,1438.25
2004-03-17,12:00:00,210.0,1393.25
2004-03-17,13:00:00,204.0,1452.0
2004-03-17,14:00:00,161.0,1389.25
2004-03-17,15:00:00,135.0,1207.0
2004-03-17,16:00:00,186.0,1365.25
2004-03-17,17:00:00,147.0,1247.0
2004-03-17,18:00:00,299.0,1556.75
2004-03-17,19:00:00,411.0,1972.5
2004-03-17,20:00:00,347.0,1974.75
2004-03-17,21:00:00,336.0,1794.75
2004-03-17,22:00:00,202.0,1443.75
2004-03-17,23:00:00,178.0,1488.0
2004-03-18,00:00:00,154.0,1371.25
2004-03-18,01:00:00,92.0,1160.75
2004-03-18,02:00:00,61.0,1064.25
2004-03-18,03:00:00,-200.0,970.25
2004-03-18,04:00:00,60.0,954.0
2004-03-18,05:00:00,37.0,930.5
2004-03-18,06:00:00,68.0,938.0
2004-03-18,07:00:00,139.0,1166.25
2004-03-18,08:00:00,339.0,1643.0
2004-03-18,09:00:00,421.0,1934.0
2004-03-18,10:00:00,349.0,1616.5
2004-03-18,11:00:00,224.0,1472.75
2004-03-18,12:00:00,171.0,1378.5
2004-03-18,13:00:00,149.0,1385.25
2004-03-18,14:00:00,137.0,1378.75
2004-03-18,15:00:00,149.0,1321.6666666667
2004-03-18,16:00:00,172.0,1495.75
2004-03-18,17:00:00,166.0,1408.75
2004-03-18,18:00:00,214.0,1512.75
2004-03-18,19:00:00,280.0,1667.0
2004-03-18,20:00:00,276.0,1666.75
2004-03-18,21:00:00,178.0,1430.25
2004-03-18,22:00:00,129.0,1333.25
2004-03-18,23:00:00,95.0,1261.5
2004-03-19,00:00:00,126.0,1287.25
2004-03-19,01:00:00,103.0,1134.25
2004-03-19,02:00:00,48.0,998.75
2004-03-19,03:00:00,-200.0,960.75
2004-03-19,04:00:00,20.0,933.75
2004-03-19,05:00:00,18.0,912.75
2004-03-19,06:00:00,56.0,969.25
2004-03-19,07:00:00,115.0,1181.5
2004-03-19,08:00:00,320.0,1740.25
2004-03-19,09:00:00,357.0,1819.25
2004-03-19,10:00:00,253.0,1427.0
2004-03-19,11:00:00,218.0,1389.5
2004-03-19,12:00:00,192.0,1283.0
2004-03-19,13:00:00,176.0,1303.5
2004-03-19,14:00:00,198.0,1364.0
2004-03-19,15:00:00,212.0,1409.75
2004-03-19,16:00:00,249.0,1476.0
2004-03-19,17:00:00,270.0,1522.0
2004-03-19,18:00:00,231.0,1441.75
2004-03-19,19:00:00,251.0,1469.0
2004-03-19,20:00:00,210.0,1467.25
2004-03-19,21:00:00,249.0,1420.5
2004-03-19,22:00:00,143.0,1175.0
2004-03-19,23:00:00,127.0,1215.0
2004-03-20,00:00:00,104.0,1126.75
2004-03-20,01:00:00,86.0,1090.25
2004-03-20,02:00:00,74.0,1017.0
2004-03-20,03:00:00,-200.0,997.25
2004-03-20,04:00:00,44.0,944.75
2004-03-20,05:00:00,42.0,955.75
2004-03-20,06:00:00,63.0,966.25
2004-03-20,07:00:00,115.0,1064.0
2004-03-20,08:00:00,170.0,1299.75
2004-03-20,09:00:00,147.0,1348.0
2004-03-20,10:00:00,166.0,1424.5
2004-03-20,11:00:00,195.0,1473.75
2004-03-20,12:00:00,182.0,1489.75
2004-03-20,13:00:00,168.0,1494.75
2004-03-20,14:00:00,125.0,1375.5
2004-03-20,15:00:00,95.0,1304.75
2004-03-20,16:00:00,79.0,1282.5
2004-03-20,17:00:00,119.0,1392.25
2004-03-20,18:00:00,142.0,1452.25
2004-03-20,19:00:00,215.0,1633.0
2004-03-20,20:00:00,229.0,1624.5
2004-03-20,21:00:00,206.0,1534.5
2004-03-20,22:00:00,147.0,1322.5
2004-03-20,23:00:00,122.0,1309.0
2004-03-21,00:00:00,175.0,1455.5
2004-03-21,01:00:00,133.0,1299.5
2004-03-21,02:00:00,89.0,1202.5
2004-03-21,03:00:00,-200.0,1194.75
2004-03-21,04:00:00,85.0,1116.75
2004-03-21,05:00:00,55.0,1061.75
2004-03-21,06:00:00,24.0,947.0
2004-03-21,07:00:00,72.0,1065.0
2004-03-21,08:00:00,122.0,1154.5
2004-03-21,09:00:00,111.0,1220.25
2004-03-21,10:00:00,123.0,1300.75
2004-03-21,11:00:00,106.0,1279.25
2004-03-21,12:00:00,103.0,1267.0
2004-03-21,13:00:00,102.0,1238.75
2004-03-21,14:00:00,48.0,1128.25
2004-03-21,15:00:00,63.0,1242.75
2004-03-21,16:00:00,98.0,1208.0
2004-03-21,17:00:00,132.0,1306.25
2004-03-21,18:00:00,173.0,1545.5
2004-03-21,19:00:00,185.0,1501.0
2004-03-21,20:00:00,266.0,1604.75
2004-03-21,21:00:00,188.0,1315.5
2004-03-21,22:00:00,122.0,1195.0
2004-03-21,23:00:00,112.0,1211.0
2004-03-22,00:00:00,93.0,1161.25
2004-03-22,01:00:00,74.0,1095.25
2004-03-22,02:00:00,23.0,897.0
2004-03-22,03:00:00,-200.0,842.0
2004-03-22,04:00:00,17.0,853.75
2004-03-22,05:00:00,15.0,845.0
2004-03-22,06:00:00,41.0,941.5
2004-03-22,07:00:00,86.0,1090.25
2004-03-22,08:00:00,226.0,1514.25
2004-03-22,09:00:00,214.0,1378.75
2004-03-22,10:00:00,115.0,1074.25
2004-03-22,11:00:00,124.0,1089.75
2004-03-22,12:00:00,122.0,1109.5
2004-03-22,13:00:00,107.0,1101.75
2004-03-22,14:00:00,133.0,1099.5
2004-03-22,15:00:00,130.0,1093.75
2004-03-22,16:00:00,150.0,1075.5
2004-03-22,17:00:00,138.0,1151.75
2004-03-22,18:00:00,213.0,1406.75
2004-03-22,19:00:00,232.0,1437.5
2004-03-22,20:00:00,238.0,1424.5
2004-03-22,21:00:00,180.0,1278.5
2004-03-22,22:00:00,128.0,1131.75
2004-03-22,23:00:00,65.0,1006.25
2004-03-23,00:00:00,53.0,982.25
2004-03-23,01:00:00,47.0,968.5
2004-03-23,02:00:00,51.0,940.5
2004-03-23,03:00:00,-200.0,892.0
2004-03-23,04:00:00,20.0,855.0
2004-03-23,05:00:00,13.0,833.75
2004-03-23,06:00:00,33.0,908.5
2004-03-23,07:00:00,103.0,1061.0
2004-03-23,08:00:00,224.0,1440.75
2004-03-23,09:00:00,244.0,1498.25
2004-03-23,10:00:00,237.0,1342.75
2004-03-23,11:00:00,220.0,1308.0
2004-03-23,12:00:00,207.0,1209.0
2004-03-23,13:00:00,208.0,1310.25
2004-03-23,14:00:00,160.0,1170.75
2004-03-23,15:00:00,131.0,1112.0
2004-03-23,16:00:00,128.0,1132.0
2004-03-23,17:00:00,176.0,1225.0
2004-03-23,18:00:00,107.0,1064.5
2004-03-23,19:00:00,131.0,1236.25
2004-03-23,20:00:00,166.0,1308.5
2004-03-23,21:00:00,89.0,1089.0
2004-03-23,22:00:00,81.0,999.66666666667
2004-03-23,23:00:00,78.0,1041.25
2004-03-24,00:00:00,70.0,1044.75
2004-03-24,01:00:00,76.0,997.25
2004-03-24,02:00:00,43.0,948.25
2004-03-24,03:00:00,-200.0,878.25
2004-03-24,04:00:00,44.0,907.5
2004-03-24,05:00:00,34.0,892.25
2004-03-24,06:00:00,43.0,953.75
2004-03-24,07:00:00,79.0,1045.25
2004-03-24,08:00:00,174.0,1382.75
2004-03-24,09:00:00,235.0,1597.25
2004-03-24,10:00:00,218.0,1317.5
2004-03-24,11:00:00,136.0,1137.75
2004-03-24,12:00:00,117.0,1097.5
2004-03-24,13:00:00,119.0,1117.5
2004-03-24,14:00:00,126.0,1170.25
2004-03-24,15:00:00,100.0,1112.25
2004-03-24,16:00:00,197.0,1389.5
2004-03-24,17:00:00,195.0,1353.25
2004-03-24,18:00:00,156.0,1260.25
2004-03-24,19:00:00,247.0,1501.25
2004-03-24,20:00:00,190.0,1272.5
2004-03-24,21:00:00,169.0,1178.5
2004-03-24,22:00:00,118.0,1046.75
2004-03-24,23:00:00,81.0,972.5
2004-03-25,00:00:00,80.0,997.0
2004-03-25,01:00:00,42.0,969.5
2004-03-25,02:00:00,38.0,902.0
2004-03-25,03:00:00,-200.0,921.25
2004-03-25,04:00:00,18.0,858.25
2004-03-25,05:00:00,12.0,878.0
2004-03-25,06:00:00,43.0,892.5
2004-03-25,07:00:00,84.0,1038.0
2004-03-25,08:00:00,184.0,1319.5
2004-03-25,09:00:00,202.0,1352.75
2004-03-25,10:00:00,133.0,1133.25
2004-03-25,11:00:00,130.0,1065.5
2004-03-25,12:00:00,106.0,1026.5
2004-03-25,13:00:00,132.0,1105.5
2004-03-25,14:00:00,106.0,1037.75
2004-03-25,15:00:00,125.0,1084.0
2004-03-25,16:00:00,138.0,1104.5
2004-03-25,17:00:00,120.0,1101.75
2004-03-25,18:00:00,158.0,1239.75
2004-03-25,19:00:00,253.0,1443.25
2004-03-25,20:00:00,231.0,1389.0
2004-03-25,21:00:00,150.0,1182.75
2004-03-25,22:00:00,99.0,1014.25
2004-03-25,23:00:00,75.0,978.5
2004-03-26,00:00:00,93.0,1047.5
2004-03-26,01:00:00,79.0,1023.75
2004-03-26,02:00:00,67.0,973.5
2004-03-26,03:00:00,-200.0,861.5
2004-03-26,04:00:00,45.0,924.5
2004-03-26,05:00:00,72.0,951.5
2004-03-26,06:00:00,103.0,1004.75
2004-03-26,07:00:00,132.0,1122.0
2004-03-26,08:00:00,239.0,1350.75
2004-03-26,09:00:00,275.0,1407.75
2004-03-26,10:00:00,232.0,1303.75
2004-03-26,11:00:00,180.0,1206.75
2004-03-26,12:00:00,112.0,1099.25
2004-03-26,13:00:00,116.0,1105.6666666667
2004-03-26,14:00:00,103.0,1009.25
2004-03-26,15:00:00,89.0,961.75
2004-03-26,16:00:00,112.0,1093.25
2004-03-26,17:00:00,127.0,1179.75
2004-03-26,18:00:00,125.0,1168.0
2004-03-26,19:00:00,120.0,1167.5
2004-03-26,20:00:00,120.0,1139.5
2004-03-26,21:00:00,99.0,1000.75
2004-03-26,22:00:00,79.0,953.0
2004-03-26,23:00:00,66.0,971.5
2004-03-27,00:00:00,94.0,1021.0
2004-03-27,01:00:00,70.0,940.0
2004-03-27,02:00:00,75.0,1045.5
2004-03-27,03:00:00,-200.0,1026.0
2004-03-27,04:00:00,57.0,983.25
2004-03-27,05:00:00,32.0,915.25
2004-03-27,06:00:00,54.0,934.75
2004-03-27,07:00:00,68.0,976.25
2004-03-27,08:00:00,98.0,1123.75
2004-03-27,09:00:00,128.0,1162.5
2004-03-27,10:00:00,129.0,1166.5
2004-03-27,11:00:00,130.0,1120.75
2004-03-27,12:00:00,111.0,1071.25
2004-03-27,13:00:00,106.0,1064.75
2004-03-27,14:00:00,137.0,1157.25
2004-03-27,15:00:00,113.0,1046.25
2004-03-27,16:00:00,122.0,1147.0
2004-03-27,17:00:00,137.0,1118.75
2004-03-27,18:00:00,165.0,1209.5
2004-03-27,19:00:00,196.0,1305.75
2004-03-27,20:00:00,174.0,1257.5
2004-03-27,21:00:00,140.0,1148.25
2004-03-27,22:00:00,102.0,1107.75
2004-03-27,23:00:00,130.0,1230.75
2004-03-28,00:00:00,121.0,1292.5
2004-03-28,01:00:00,111.0,1274.25
2004-03-28,02:00:00,87.0,1135.25
2004-03-28,03:00:00,-200.0,1151.0
2004-03-28,04:00:00,77.0,1009.5
2004-03-28,05:00:00,39.0,869.75
2004-03-28,06:00:00,77.0,983.0
2004-03-28,07:00:00,91.0,995.25
2004-03-28,08:00:00,105.0,1024.25
2004-03-28,09:00:00,133.0,1163.0
2004-03-28,10:00:00,128.0,1217.75
2004-03-28,11:00:00,126.0,1210.0
2004-03-28,12:00:00,92.0,1113.5
2004-03-28,13:00:00,66.0,994.5
2004-03-28,14:00:00,50.0,926.5
2004-03-28,15:00:00,70.0,1001.5
2004-03-28,16:00:00,73.0,986.75
2004-03-28,17:00:00,77.0,993.0
2004-03-28,18:00:00,86.0,1011.5
2004-03-28,19:00:00,93.0,1113.75
2004-03-28,20:00:00,105.0,1093.25
2004-03-28,21:00:00,67.0,968.25
2004-03-28,22:00:00,63.0,959.75
2004-03-28,23:00:00,63.0,942.0
2004-03-29,00:00:00,46.0,887.75
2004-03-29,01:00:00,21.0,817.75
2004-03-29,02:00:00,22.0,840.25
2004-03-29,03:00:00,-200.0,894.0
2004-03-29,04:00:00,39.0,863.66666666667
2004-03-29,05:00:00,55.0,898.0
2004-03-29,06:00:00,76.0,945.5
2004-03-29,07:00:00,181.0,1309.25
2004-03-29,08:00:00,259.0,1326.25
2004-03-29,09:00:00,118.0,966.25
2004-03-29,10:00:00,119.0,975.0
2004-03-29,11:00:00,123.0,988.25
2004-03-29,12:00:00,92.0,971.0
2004-03-29,13:00:00,91.0,1009.75
2004-03-29,14:00:00,103.0,983.5
2004-03-29,15:00:00,102.0,961.5
2004-03-29,16:00:00,94.0,1012.0
2004-03-29,17:00:00,98.0,1058.0
2004-03-29,18:00:00,126.0,1173.0
2004-03-29,19:00:00,108.0,1126.5
2004-03-29,20:00:00,95.0,1019.5
2004-03-29,21:00:00,78.0,948.75
2004-03-29,22:00:00,61.0,929.5
2004-03-29,23:00:00,55.0,899.75
2004-03-30,00:00:00,57.0,898.75
2004-03-30,01:00:00,41.0,866.25
2004-03-30,02:00:00,46.0,899.75
2004-03-30,03:00:00,-200.0,949.0
2004-03-30,04:00:00,41.0,896.5
2004-03-30,05:00:00,52.0,956.0
2004-03-30,06:00:00,111.0,1054.0
2004-03-30,07:00:00,191.0,1343.25
2004-03-30,08:00:00,244.0,1583.5
2004-03-30,09:00:00,283.0,1555.75
2004-03-30,10:00:00,320.0,1564.75
2004-03-30,11:00:00,249.0,1428.5
2004-03-30,12:00:00,219.0,1418.5
2004-03-30,13:00:00,200.0,1373.25
2004-03-30,14:00:00,138.0,1185.25
2004-03-30,15:00:00,118.0,1122.25
2004-03-30,16:00:00,99.0,1084.5
2004-03-30,17:00:00,112.0,1248.5
2004-03-30,18:00:00,117.0,1236.25
2004-03-30,19:00:00,129.0,1334.0
2004-03-30,20:00:00,132.0,1263.5
2004-03-30,21:00:00,73.0,1072.75
2004-03-30,22:00:00,68.0,1052.5
2004-03-30,23:00:00,80.0,1097.75
2004-03-31,00:00:00,68.0,1028.75
2004-03-31,01:00:00,44.0,972.5
2004-03-31,02:00:00,47.0,972.0
2004-03-31,03:00:00,-200.0,832.25
2004-03-31,04:00:00,15.0,850.5
2004-03-31,05:00:00,44.0,909.0
2004-03-31,06:00:00,85.0,1037.5
2004-03-31,07:00:00,207.0,1635.5
2004-03-31,08:00:00,230.0,1580.25
2004-03-31,09:00:00,181.0,1261.75
2004-03-31,10:00:00,144.0,1196.5
2004-03-31,11:00:00,140.0,1276.75
2004-03-31,12:00:00,204.0,1429.5
2004-03-31,13:00:00,149.0,1242.25
2004-03-31,14:00:00,171.0,1348.5
2004-03-31,15:00:00,195.0,1389.75
2004-03-31,16:00:00,152.0,1223.5
2004-03-31,17:00:00,128.0,1252.5
2004-03-31,18:00:00,121.0,1312.0
2004-03-31,19:00:00,142.0,1254.3333333333
2004-03-31,20:00:00,131.0,1198.0
2004-03-31,21:00:00,81.0,1060.25
2004-03-31,22:00:00,60.0,1050.0
2004-03-31,23:00:00,57.0,1029.25
2004-04-01,00:00:00,96.0,1143.0
2004-04-01,01:00:00,85.0,1043.75
2004-04-01,02:00:00,50.0,1034.0
2004-04-01,03:00:00,-200.0,956.25
2004-04-01,04:00:00,57.0,909.25
2004-04-01,05:00:00,64.0,996.0
2004-04-01,06:00:00,153.0,1153.5
2004-04-01,07:00:00,342.0,1510.25
2004-04-01,08:00:00,378.0,1721.5
2004-04-01,09:00:00,304.0,1511.5
2004-04-01,10:00:00,192.0,1258.25
2004-04-01,11:00:00,130.0,1093.75
2004-04-01,12:00:00,106.0,1128.75
2004-04-01,13:00:00,102.0,1124.5
2004-04-01,14:00:00,99.0,-200.0
2004-04-01,15:00:00,108.0,-200.0
2004-04-01,16:00:00,131.0,-200.0
2004-04-01,17:00:00,163.0,1308.0
2004-04-01,18:00:00,211.0,1528.5
2004-04-01,19:00:00,267.0,1592.25
2004-04-01,20:00:00,269.0,1535.75
2004-04-01,21:00:00,154.0,1192.25
2004-04-01,22:00:00,127.0,1186.0
2004-04-01,23:00:00,122.0,1202.75
2004-04-02,00:00:00,126.0,1139.0
2004-04-02,01:00:00,84.0,1072.25
2004-04-02,02:00:00,58.0,954.25
2004-04-02,03:00:00,-200.0,951.25
2004-04-02,04:00:00,37.0,925.5
2004-04-02,05:00:00,56.0,968.0
2004-04-02,06:00:00,91.0,1066.5
2004-04-02,07:00:00,159.0,1385.75
2004-04-02,08:00:00,190.0,1473.5
2004-04-02,09:00:00,249.0,1569.0
2004-04-02,10:00:00,196.0,1374.5
2004-04-02,11:00:00,180.0,1327.5
2004-04-02,12:00:00,167.0,1340.75
2004-04-02,13:00:00,159.0,1296.5
2004-04-02,14:00:00,152.0,1303.0
2004-04-02,15:00:00,149.0,1281.0
2004-04-02,16:00:00,143.0,1247.75
2004-04-02,17:00:00,185.0,1382.0
2004-04-02,18:00:00,223.0,1491.25
2004-04-02,19:00:00,215.0,1619.75
2004-04-02,20:00:00,271.0,1693.0
2004-04-02,21:00:00,180.0,1373.5
2004-04-02,22:00:00,115.0,1287.25
2004-04-02,23:00:00,149.0,1408.25
2004-04-03,00:00:00,98.0,1254.25
2004-04-03,01:00:00,73.0,1140.75
2004-04-03,02:00:00,69.0,1140.75
2004-04-03,03:00:00,-200.0,1041.75
2004-04-03,04:00:00,60.0,986.25
2004-04-03,05:00:00,56.0,1005.0
2004-04-03,06:00:00,73.0,1040.75
2004-04-03,07:00:00,159.0,1271.75
2004-04-03,08:00:00,203.0,1436.25
2004-04-03,09:00:00,211.0,1471.75
2004-04-03,10:00:00,-200.0,1418.25
2004-04-03,11:00:00,-200.0,1410.0
2004-04-03,12:00:00,-200.0,1437.5
2004-04-03,13:00:00,-200.0,1278.25
2004-04-03,14:00:00,-200.0,1256.5
2004-04-03,15:00:00,-200.0,1331.0
2004-04-03,16:00:00,-200.0,1361.25
2004-04-03,17:00:00,-200.0,1397.75
2004-04-03,18:00:00,-200.0,1483.25
2004-04-03,19:00:00,-200.0,1696.5
2004-04-03,20:00:00,-200.0,1459.0
2004-04-03,21:00:00,-200.0,1268.0
2004-04-03,22:00:00,-200.0,1469.25
2004-04-03,23:00:00,-200.0,1315.5
2004-04-04,00:00:00,-200.0,1224.25
2004-04-04,01:00:00,-200.0,1215.25
2004-04-04,02:00:00,-200.0,1114.5
2004-04-04,03:00:00,-200.0,1123.5
2004-04-04,04:00:00,-200.0,1027.5
2004-04-04,05:00:00,-200.0,1009.5
2004-04-04,06:00:00,-200.0,1073.5
2004-04-04,07:00:00,-200.0,1034.0
2004-04-04,08:00:00,-200.0,1129.5
2004-04-04,09:00:00,-200.0,1275.0
2004-04-04,10:00:00,-200.0,1324.25
2004-04-04,11:00:00,-200.0,1267.5
2004-04-04,12:00:00,-200.0,1272.25
2004-04-04,13:00:00,-200.0,1160.0
2004-04-04,14:00:00,-200.0,1135.5
2004-04-04,15:00:00,-200.0,1296.0
2004-04-04,16:00:00,-200.0,1345.25
2004-04-04,17:00:00,-200.0,1295.75
2004-04-04,18:00:00,-200.0,1257.5
2004-04-04,19:00:00,-200.0,1420.25
2004-04-04,20:00:00,-200.0,1365.75
2004-04-04,21:00:00,-200.0,1113.25
2004-04-04,22:00:00,-200.0,1195.75
2004-04-04,23:00:00,-200.0,1188.0
2004-04-05,00:00:00,-200.0,1101.5
2004-04-05,01:00:00,-200.0,969.0
2004-04-05,02:00:00,-200.0,982.5
2004-04-05,03:00:00,-200.0,876.0
2004-04-05,04:00:00,-200.0,884.0
2004-04-05,05:00:00,-200.0,1023.5
2004-04-05,06:00:00,-200.0,1126.25
2004-04-05,07:00:00,-200.0,1414.75
2004-04-05,08:00:00,-200.0,1630.5
2004-04-05,09:00:00,-200.0,1498.5
2004-04-05,10:00:00,236.0,1460.75
2004-04-05,11:00:00,228.0,1429.75
2004-04-05,12:00:00,206.0,1498.25
2004-04-05,13:00:00,188.0,1453.5
2004-04-05,14:00:00,158.0,1402.25
2004-04-05,15:00:00,124.0,1327.0
2004-04-05,16:00:00,98.0,1273.0
2004-04-05,17:00:00,160.0,1456.75
2004-04-05,18:00:00,194.0,1542.75
2004-04-05,19:00:00,174.0,1499.25
2004-04-05,20:00:00,157.0,1378.25
2004-04-05,21:00:00,109.0,1242.5
2004-04-05,22:00:00,85.0,1195.5
2004-04-05,23:00:00,90.0,1137.25
2004-04-06,00:00:00,61.0,1015.25
2004-04-06,01:00:00,36.0,977.5
2004-04-06,02:00:00,25.0,933.33333333333
2004-04-06,03:00:00,-200.0,926.5
2004-04-06,04:00:00,24.0,907.75
